timestamp,elapsed_s,component,pid,cpu_percent_one_core,cpu_percent_total_capacity,rss_mb,threads,command
2026-08-11T15:16:09.900+00:00,1.0,ros_launch,43017,0.0,0.0,13.863,1,/usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch xgo_driver_bridge headless_bag_benchmark.launch.py bag_path:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/bag slam_method:=cartographer use_dynamic_filter:=true normalize_scan:=false use_camera:=false playback_rate:=1.0 post_playback_delay_sec:=5.0 start_foxglove:=false foxglove_port:=8766 use_waypoint_evaluator:=true waypoints_file:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/waypoints.json evaluation_output_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/metrics/waypoint_accuracy.json rtabmap_database_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/databases/rtabmap.db velocity_scale:=1.0 static_confirmations:=20 static_speed_threshold:=0.06 moving_confirmations:=4
2026-08-11T15:16:10.900+00:00,2.0,ros_launch,43017,99.002,24.75,43.34,3,/usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch xgo_driver_bridge headless_bag_benchmark.launch.py bag_path:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/bag slam_method:=cartographer use_dynamic_filter:=true normalize_scan:=false use_camera:=false playback_rate:=1.0 post_playback_delay_sec:=5.0 start_foxglove:=false foxglove_port:=8766 use_waypoint_evaluator:=true waypoints_file:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/waypoints.json evaluation_output_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/metrics/waypoint_accuracy.json rtabmap_database_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/databases/rtabmap.db velocity_scale:=1.0 static_confirmations:=20 static_speed_threshold:=0.06 moving_confirmations:=4
2026-08-11T15:16:11.900+00:00,3.0,ros_launch,43017,7.0,1.75,43.527,3,/usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch xgo_driver_bridge headless_bag_benchmark.launch.py bag_path:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/bag slam_method:=cartographer use_dynamic_filter:=true normalize_scan:=false use_camera:=false playback_rate:=1.0 post_playback_delay_sec:=5.0 start_foxglove:=false foxglove_port:=8766 use_waypoint_evaluator:=true waypoints_file:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/waypoints.json evaluation_output_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/metrics/waypoint_accuracy.json rtabmap_database_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/databases/rtabmap.db velocity_scale:=1.0 static_confirmations:=20 static_speed_threshold:=0.06 moving_confirmations:=4
2026-08-11T15:16:11.900+00:00,3.0,offline_odom,43020,0.0,0.0,48.301,3,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/xgo_offline_odom_node --ros-args -r __node:=xgo_offline_odom --params-file /tmp/launch_params_41t7_d6p
2026-08-11T15:16:11.900+00:00,3.0,dynamic_filter,43021,0.0,0.0,42.523,3,/usr/bin/python3 /workspaces/robot_sim_sose/install/dynamic_scan_filter/lib/dynamic_scan_filter/dynamic_scan_filter_node --ros-args -r __node:=dynamic_scan_filter --params-file /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config/dynamic_scan_filter_robot.yaml --params-file /tmp/launch_params_bdcq3p5b
2026-08-11T15:16:11.900+00:00,3.0,cartographer,43022,0.0,0.0,45.844,22,/opt/ros/jazzy/lib/cartographer_ros/cartographer_node -configuration_directory /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config -configuration_basename cartographer_robot_2d.lua --ros-args -r __node:=cartographer_node --params-file /tmp/launch_params_xlhvmaxp -r scan:=/scan_filtered -r odom:=/odom -r imu:=/imu/data
2026-08-11T15:16:11.900+00:00,3.0,cartographer,43023,0.0,0.0,36.098,16,/opt/ros/jazzy/lib/cartographer_ros/cartographer_occupancy_grid_node -resolution 0.05 -publish_period_sec 1.0 --ros-args -r __node:=cartographer_occupancy_grid_node --params-file /tmp/launch_params_9rxe6fsn
2026-08-11T15:16:11.900+00:00,3.0,waypoint_evaluator,43024,0.0,0.0,42.938,3,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/waypoint_accuracy_node --ros-args -r __node:=waypoint_accuracy_monitor --params-file /tmp/launch_params_0ecjw9_6
2026-08-11T15:16:12.900+00:00,4.0,ros_launch,43017,1.0,0.25,43.527,3,/usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch xgo_driver_bridge headless_bag_benchmark.launch.py bag_path:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/bag slam_method:=cartographer use_dynamic_filter:=true normalize_scan:=false use_camera:=false playback_rate:=1.0 post_playback_delay_sec:=5.0 start_foxglove:=false foxglove_port:=8766 use_waypoint_evaluator:=true waypoints_file:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/waypoints.json evaluation_output_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/metrics/waypoint_accuracy.json rtabmap_database_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/databases/rtabmap.db velocity_scale:=1.0 static_confirmations:=20 static_speed_threshold:=0.06 moving_confirmations:=4
2026-08-11T15:16:12.900+00:00,4.0,offline_odom,43020,63.003,15.751,71.055,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/xgo_offline_odom_node --ros-args -r __node:=xgo_offline_odom --params-file /tmp/launch_params_41t7_d6p
2026-08-11T15:16:12.900+00:00,4.0,dynamic_filter,43021,75.004,18.751,71.66,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/dynamic_scan_filter/lib/dynamic_scan_filter/dynamic_scan_filter_node --ros-args -r __node:=dynamic_scan_filter --params-file /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config/dynamic_scan_filter_robot.yaml --params-file /tmp/launch_params_bdcq3p5b
2026-08-11T15:16:12.900+00:00,4.0,cartographer,43022,5.0,1.25,46.164,22,/opt/ros/jazzy/lib/cartographer_ros/cartographer_node -configuration_directory /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config -configuration_basename cartographer_robot_2d.lua --ros-args -r __node:=cartographer_node --params-file /tmp/launch_params_xlhvmaxp -r scan:=/scan_filtered -r odom:=/odom -r imu:=/imu/data
2026-08-11T15:16:12.900+00:00,4.0,cartographer,43023,2.0,0.5,36.258,16,/opt/ros/jazzy/lib/cartographer_ros/cartographer_occupancy_grid_node -resolution 0.05 -publish_period_sec 1.0 --ros-args -r __node:=cartographer_occupancy_grid_node --params-file /tmp/launch_params_9rxe6fsn
2026-08-11T15:16:12.900+00:00,4.0,waypoint_evaluator,43024,63.003,15.751,69.809,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/waypoint_accuracy_node --ros-args -r __node:=waypoint_accuracy_monitor --params-file /tmp/launch_params_0ecjw9_6
2026-08-11T15:16:13.900+00:00,5.0,ros_launch,43017,0.0,0.0,43.527,3,/usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch xgo_driver_bridge headless_bag_benchmark.launch.py bag_path:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/bag slam_method:=cartographer use_dynamic_filter:=true normalize_scan:=false use_camera:=false playback_rate:=1.0 post_playback_delay_sec:=5.0 start_foxglove:=false foxglove_port:=8766 use_waypoint_evaluator:=true waypoints_file:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/waypoints.json evaluation_output_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/metrics/waypoint_accuracy.json rtabmap_database_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/databases/rtabmap.db velocity_scale:=1.0 static_confirmations:=20 static_speed_threshold:=0.06 moving_confirmations:=4
2026-08-11T15:16:13.900+00:00,5.0,offline_odom,43020,0.0,0.0,71.059,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/xgo_offline_odom_node --ros-args -r __node:=xgo_offline_odom --params-file /tmp/launch_params_41t7_d6p
2026-08-11T15:16:13.900+00:00,5.0,dynamic_filter,43021,0.0,0.0,71.664,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/dynamic_scan_filter/lib/dynamic_scan_filter/dynamic_scan_filter_node --ros-args -r __node:=dynamic_scan_filter --params-file /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config/dynamic_scan_filter_robot.yaml --params-file /tmp/launch_params_bdcq3p5b
2026-08-11T15:16:13.900+00:00,5.0,cartographer,43022,2.0,0.5,46.164,22,/opt/ros/jazzy/lib/cartographer_ros/cartographer_node -configuration_directory /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config -configuration_basename cartographer_robot_2d.lua --ros-args -r __node:=cartographer_node --params-file /tmp/launch_params_xlhvmaxp -r scan:=/scan_filtered -r odom:=/odom -r imu:=/imu/data
2026-08-11T15:16:13.900+00:00,5.0,cartographer,43023,1.0,0.25,36.258,16,/opt/ros/jazzy/lib/cartographer_ros/cartographer_occupancy_grid_node -resolution 0.05 -publish_period_sec 1.0 --ros-args -r __node:=cartographer_occupancy_grid_node --params-file /tmp/launch_params_9rxe6fsn
2026-08-11T15:16:13.900+00:00,5.0,waypoint_evaluator,43024,0.0,0.0,69.812,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/waypoint_accuracy_node --ros-args -r __node:=waypoint_accuracy_monitor --params-file /tmp/launch_params_0ecjw9_6
2026-08-11T15:16:14.900+00:00,6.0,ros_launch,43017,0.0,0.0,43.527,3,/usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch xgo_driver_bridge headless_bag_benchmark.launch.py bag_path:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/bag slam_method:=cartographer use_dynamic_filter:=true normalize_scan:=false use_camera:=false playback_rate:=1.0 post_playback_delay_sec:=5.0 start_foxglove:=false foxglove_port:=8766 use_waypoint_evaluator:=true waypoints_file:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/waypoints.json evaluation_output_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/metrics/waypoint_accuracy.json rtabmap_database_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/databases/rtabmap.db velocity_scale:=1.0 static_confirmations:=20 static_speed_threshold:=0.06 moving_confirmations:=4
2026-08-11T15:16:14.900+00:00,6.0,offline_odom,43020,1.0,0.25,71.449,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/xgo_offline_odom_node --ros-args -r __node:=xgo_offline_odom --params-file /tmp/launch_params_41t7_d6p
2026-08-11T15:16:14.900+00:00,6.0,dynamic_filter,43021,0.0,0.0,72.066,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/dynamic_scan_filter/lib/dynamic_scan_filter/dynamic_scan_filter_node --ros-args -r __node:=dynamic_scan_filter --params-file /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config/dynamic_scan_filter_robot.yaml --params-file /tmp/launch_params_bdcq3p5b
2026-08-11T15:16:14.900+00:00,6.0,cartographer,43022,3.0,0.75,47.031,22,/opt/ros/jazzy/lib/cartographer_ros/cartographer_node -configuration_directory /workspaces/robot_sim_sose/install/xgo_driver_bridge/share/xgo_driver_bridge/config -configuration_basename cartographer_robot_2d.lua --ros-args -r __node:=cartographer_node --params-file /tmp/launch_params_xlhvmaxp -r scan:=/scan_filtered -r odom:=/odom -r imu:=/imu/data
2026-08-11T15:16:14.900+00:00,6.0,cartographer,43023,0.0,0.0,36.258,16,/opt/ros/jazzy/lib/cartographer_ros/cartographer_occupancy_grid_node -resolution 0.05 -publish_period_sec 1.0 --ros-args -r __node:=cartographer_occupancy_grid_node --params-file /tmp/launch_params_9rxe6fsn
2026-08-11T15:16:14.900+00:00,6.0,waypoint_evaluator,43024,1.0,0.25,70.219,15,/usr/bin/python3 /workspaces/robot_sim_sose/install/xgo_driver_bridge/lib/xgo_driver_bridge/waypoint_accuracy_node --ros-args -r __node:=waypoint_accuracy_monitor --params-file /tmp/launch_params_0ecjw9_6
2026-08-11T15:16:15.900+00:00,7.0,ros_launch,43017,0.0,0.0,43.527,3,/usr/bin/python3 /opt/ros/jazzy/bin/ros2 launch xgo_driver_bridge headless_bag_benchmark.launch.py bag_path:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/bag slam_method:=cartographer use_dynamic_filter:=true normalize_scan:=false use_camera:=false playback_rate:=1.0 post_playback_delay_sec:=5.0 start_foxglove:=false foxglove_port:=8766 use_waypoint_evaluator:=true waypoints_file:=/workspaces/robot_sim_sose/evaluation/runs/rtab_filtered_run_wp_1/waypoints.json evaluation_output_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/metrics/waypoint_accuracy.json rtabmap_database_path:=/workspaces/robot_sim_sose/evaluation/runs/bag_cartographer_filtered_rtab_filtered_run_wp_1_run005/databases/rtabmap.db velocity_scale:=1.0 static_confirmations:=20 static_speed_threshold:=0.06 moving_confirmations:=4
